Job Title,Salary Estimate,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
"Applied Scientist II, Consumer Payments",$59K - $128K (Glassdoor est.),"MS in CS, Machine Learning or in a highly quantitative field.
Hands-on experience (academic or industrial) in predictive modeling and big data analysis.Strong coding and problem-solving skills in at least one programming language such as Python, Java, Scala etc.
Working knowledge of web-scale data processing (e.g., PySpark).
Sound theoretical understanding of broad machine learning concepts, with deep and demonstrable expertise in at least one topic or application of machine learning.",Amazon.com Services LLC,3.8,"New York, NY",-1,-1,-1,-1,-1,-1
Data Analytics Architect Lead-Data AI,$101K - $193K (Glassdoor est.),"Data Analytics Architect Lead-Data AI
Location
New York , United States
Your job
Munich Re America Services (MRAS) is a shared service organization that delivers services to all Munich Re US P&C Companies and other group entities.

We’re adding to our diverse team of experts and are looking to hire an employee committed to building a culture that enables the creation of innovative solutions for our business units and clients.

As a member of Munich Re's US operations, we offer the financial strength and stability that comes with being part of the world's preeminent insurance and reinsurance brand. Our risk experts work together to assemble the right mix of products and services to help our clients stay competitive – from traditional reinsurance coverages, to niche and specialty reinsurance and insurance products.

The section IT 1.6 Business Technology is responsible for successful consulting on, bundling, management and design of IT innovation solutions in close cooperation with the business divisional units and departments, and central divisions in Munich Re (Group), as well as with other IT units.

IT section1.6.4.1 in Munich and section 1.6.4.2 in Princeton is responsible for Munich Re’s “Big Data and Analytics Platform” and specific data and AI based solutions. This so called BDAP platform builds the basis for the innovative digital solutions of Munich Re and needs permanent development.

We are looking for a highly motivated and passionate Data Analytics Architect Lead to drive high priority customer initiatives on the Microsoft Azure Platform in collaboration with customers. This is a customer facing role, owning overall technical relationship between customer and BDAP Data, Advanced Analytics and Artificial Intelligence Platform.

You will own the Data Platform & Advanced Analytics technical customer engagements within our North American Business Units including architectural design sessions, specific implementation projects and/or MVPs. The ideal candidate will have experience in customer-facing roles and success leading deep technical architecture discussions with senior customer executives, Enterprise Architects, IT Management and Developers to drive Data Platform and Advanced Analytics solutions to productions.
ResponsibilitiesKey responsibilities include:
QualificationsProfessional

Technical

Education

Experiences

At Munich Re US, we see Diversity and Inclusion as a solution to the challenges and opportunities all around us. Our goal is to foster an inclusive culture and build a workforce that reflects the customers we serve and the communities in which we live and work. We strive to provide a workplace where all of our colleagues feel respected, valued and empowered to achieve their very best every day. We recruit and develop talent with a focus on providing our customers the most innovative products and services.



We are an equal opportunity employer. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",Munich Re America Services,4.3,"New York, NY",-1,-1,-1,-1,-1,-1
Entry Level Data Science Analyst,$59K - $116K (Glassdoor est.),"Description
The Data Science department’s mission is to provide analytics and insights relating to the economic markets, clients, and products in which CME Group operates. The team is responsible for data science, machine learning, analytics, new tools, and generating actionable insights. The team brings diverse skills and people together in a highly collaborative, collegial manner. The team is one of the key thought leadership groups at the Exchange and serves business leadership to identify and promote significant market and client opportunities.
Principal Accountabilities

CME Group: Where Futures Are Made

CME Group (www.cmegroup.com) is the world's leading derivatives marketplace. But who we are goes deeper than that. Here, you can impact markets worldwide. Transform industries. And build a career shaping tomorrow. We invest in your success and you own it, all while working alongside a team of leading experts who inspire you in ways big and small. Joining our company gives you the opportunity to make a difference in global financial markets every day, whether you work on our industry-leading technology and risk management services, our benchmark products or in a corporate services area that helps us serve our customers better. With 3,500 employees located around the world, we're small enough for you and your contributions to be known. But big enough for your ideas to make an impact. The pace is dynamic, the work is unlike any other firm in the business, and the possibilities are endless. Problem solvers, difference makers, trailblazers. Those are our people. And we're looking for more.",CME Management,3.9,"Chicago, IL",-1,-1,-1,-1,-1,-1
Technical Specialist - Data & AI Applications,$56K - $103K (Glassdoor est.),"Introduction
IBM’s Data and AI organization fuels enterprise's journey to AI with data science. At IBM we build and scale AI with trust and transparency to drive digital transformation, deliver personalized customer experiences and help enterprises make more data-backed decisions.

Your Role and Responsibilities
IBM’s Data and AI organization is currently seeking a Brand Technical Specialist with experience in Business Analytics and AI solutions for the National Markets Midwest Technical Sales team.

Brand Technical Specialist are the technical experts and advisors to clients, IBM sales teams and IBM Business Partners. As a Brand Technical Specialist, you understand the client’s business requirements, technical requirements, and competitive landscape. You also apply your business insights, build, and maintain client relationships, incorporate software and services into client solutions and ensure client readiness for the implementation of technical solutions. This is an opportunity to shape the future for both IBM and its clients.",IBM,4.1,"Milwaukee, WI",-1,-1,-1,-1,-1,-1
"Sr. Data Scientist, AWS Industry Products (AIP) Science Team",$98K - $199K (Glassdoor est.),"Master’s degree in a quantitative field such as Statistics, Applied Mathematics, Physics, Engineering, Computer Science, or Economics
Proficient with data querying languages (e.g., SQL) and at least one scripting language (e.g., Python)
5+ years of experience working in a data science capacity
Excellent verbal and written communication skills with the ability to effectively advocate technical solutions to research, engineering teams and business audiences
Ability to work on a diverse team or with a diverse range of coworkers.","Amazon Web Services, Inc.",3.8,"Seattle, WA",-1,-1,-1,-1,-1,-1
Project Manager - Data Science,$79K - $139K (Glassdoor est.),"At MassMutual, we are passionate about helping millions of people find financial freedom and this passion has driven our approach to developing meaningful experiences for our customers. The Data Science team, part of the Enterprise Technology and Experience organization, is comprised of highly skilled and collaborative problem solvers who are motivated to create innovative solutions that exceed the changing needs of our customers and move MassMutual – and the industry – forward.
To continue our cutting-edge work, we are hiring a Data Science Project Manager to join our team.
What great looks like for this role",MassMutual,3.9,"Boston, MA",-1,-1,-1,-1,-1,-1
Technical Sales Specialist (Data Visualization and AI Apps) - Midwest,Employer Provided Salary:$134K - $207K,"Introduction
Client Technical Specialists (CTS) are the technical experts and advisors to clients, IBM sales teams and/or IBM Business Partners. As a CTS you understand the client's business requirements, technical requirements and/or competitive landscape. You apply your business insights, build and maintain client relationships, incorporate hardware, software and services into client-valued solutions and ensure client readiness for the implementation of technical solutions. This is an opportunity to shape the future for both IBM and its clients. Start your journey now!

Your Role and Responsibilities
As a Brand Technical Specialist your responsibilities include supporting your sales counterparts as they prospect, propose, and progress deals in your assigned territory. The Brand Technical Specialist brings competencies and experience to design solutions that solve client problems leveraging IBM’s market leading solutions in customer care, conversational AI, natural language processing, forecast, budget and planning, business intelligence and governance.

In This Role You Will:










If you are hired into a Colorado work location, the anticipated compensation range for the position $134,000 to $207,000 is based on a full-time schedule. Your ultimate compensation may vary depending on your job-related skills and experience. For part time roles, the compensation will be adjusted appropriately",IBM,4.1,"Boulder, CO",-1,-1,-1,-1,-1,-1
"Sr Data Analyst, Insights Team, CX Data & Analytics - VIRTUAL",$60K - $113K (Glassdoor est.),"Comcast brings together the best in media and technology. We drive innovation to create the world's best entertainment and online experiences. As a Fortune 50 leader, we set the pace in a variety of innovative and fascinating businesses and create career opportunities across a wide range of locations and disciplines. We are at the forefront of change and move at an amazing pace, thanks to our remarkable people, who bring cutting-edge products and services to life for millions of customers every day. If you share in our passion for teamwork, our vision to revolutionize industries and our goal to lead the future in media and technology, we want you to fast-forward your career at Comcast.

Rock star senior analyst supporting either the West Division Care or Experience teams within broader Customer Operations and Customer Experience organization by executing abstract, impact, root-cause driver, forecasting, statistical, and other analyses. Works with manager of either the Care or CX Insights team to support initiatives that answer targeted business questions with the intent of driving and supporting business strategy. Responsible for working cross-functionally to collect data and develop models to determine trends utilizing a variety of data sources. Imports, cleans, transforms, or manipulates data with the purpose of understanding or making conclusions from the data for decision making purposes. Has in-depth experience, knowledge and skills in own discipline. Able to prioritize their work, design, and execute analysis plans. Utilizes creative problem solving, mathematical/statistical, and technical skillset to identify and create new methodologies to solve business needs. Acts as resource for colleagues with less experience.",Comcast,3.9,"Centennial, CO",-1,-1,-1,-1,-1,-1
"3D Geometry ML Engineer, Technology Development Group (TDG)",-1,"Summary
Posted: Mar 10, 2022
Role Number:200355131
Do you want to push the limits of the best Augmented Reality platform in the world? Apple's Technology Development Group (TDG) delivers algorithms that drive revolutionary Apple products, including the augmented reality (AR) platform ARKit to create ground-breaking new products. In this position, you will have the opportunity to be part of our extraordinary team of computer vision and deep learning researchers and engineers to discover and build solutions to previously-unsolved challenges and push the state of the art in AR algorithms that will change the way people experience the world! As part of Apple’s Technology Development Group (TDG), the 3D Geometry ML Engineer will work in a small and dynamic team to solve 3D face and body reconstruction problems for AR applications. As a member of a fast-paced team, you have the unique and rewarding opportunity to work on upcoming releases of Apple products that delight and inspire millions of people every day! We invite you to contribute to our current Augmented Reality platform and craft the future of this technology. To succeed within this role, you should have shown experience in several of the following areas:",Apple,4.2,"Cupertino, CA",-1,-1,-1,-1,-1,-1
Senior Business Unit Data Analyst,Employer Provided Salary:$108K - $141K,"BUSINESS UNIT DATA ANALYST SENIOR

WHAT IS THE OPPORTUNITY?
The Business Unit Senior Data Analyst is responsible for supporting the Finance group and the business users through the analysis of quantitative & qualitative data by designing database models both logical and physical for department specific projects. The position will participate and perform data analysis; develop database models, database processes and functional analysis across various database methodologies. This role will require the ability to lead projects as the senior data analyst related to database design in both analysis and architecture.










Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled",City National Bank,3.7,"Los Angeles, CA",-1,-1,-1,-1,-1,-1
Data Science Analyst - Orthopedics - Limited Tenure,Employer Provided Salary:$90K - $135K,"Why Mayo Clinic
Mayo Clinic is the nation's best hospital (U.S. News & World Report, 2021-2022) and ranked #1 in more specialties than any other care provider. We have a vast array of opportunities ranging from Nursing, Clinical, to Finance, IT, Administrative, Research and Support Services to name a few. Across all locations, you’ll find career opportunities that support diversity, equity and inclusion. At Mayo Clinic, we invest in you with opportunities for growth and development and our benefits and compensation package are highly competitive. We invite you to be a part of our team where you’ll discover a culture of teamwork, professionalism, mutual respect, and most importantly, a life-changing career!

Mayo Clinic offers a variety of employee benefits. For additional information please visit Mayo Clinic Benefits. Eligibility may vary.


Data Scientists at Mayo Clinic perform detailed analysis of large bodies of heterogeneous data in order to discover new patterns and insights having an impact upon patient health and augmenting human capabilities. Candidate has expertise in AI, machine learning, deep learning, statistical data processing, regression techniques, neural networks, decision trees, clustering, pattern recognition, probability theory and data science methods used to analyze data.
May work with knowledge architects, informaticians and clinicians at Mayo, and partner outside companies to develop and deploy applications to bring AI and analytic solutions to nontechnical users, often at the point of care. Applies and modifies existing scripts or software applications to support data management, data extraction, data analysis, and AI as required May develop predictive models on datasets to address various business problems by leveraging statistical modeling, operations research, machine learning, or data mining techniques. May provide Consultative Services to departments/divisions and/or support scientific projects under the guidance of a designated senior level data scientist.

Other responsibilities:


A Bachelor’s degree in a relevant field such as engineering, mathematics, computer science, health science, or other analytical/quantitative and a minimum of three years of professional or research experience in data science will be considered.
The preferred candidate will possess a Master’s degree in a relevant field such as engineering, mathematics, computer science, health science, or other analytical/quantitative field and a minimum of one year of professional or research experience in data

This position has an anticipated end date of one year after the start date.


Demonstrated ability to develop predictive models to address various business problems through leveraging advanced statistical modeling, machine learning, or data mining techniques. May provide consultative services to departments/divisions and committees. Demonstrated application of several problem-solving methodologies, planning techniques, continuous improvement methods, and analytical tools and methodologies (e.g. machine learning, statistical packages, modeling, etc.) required. Incumbent must have ability to manage a varied workload of projects with multiple priorities and stay current on healthcare trends and enterprise changes. Interpersonal skills and time management skills are required. Requires strong analytical skills and the ability to identify and recommend solutions, advanced computer application skills and a commitment to customer service. Experience with data modeling and date exploration tools.


Exempt


$89,772- $134,638/ year


Yes


Full Time


80


Business Hours

This position works remotely 50% or more; business need requires employees to live within a reasonable driving distance of campus



Not Applicable


Yes


No


Mayo Clinic is located in the heart of downtown Rochester, Minnesota, a vibrant, friendly city that provides a highly livable environment for more than 34,000 Mayo staff and students. The city is consistently ranked among the best places to live in the United States because of its affordable cost of living, healthy lifestyle, excellent school systems and exceptionally high quality of life.


Jill Squier


As an Affirmative Action and Equal Opportunity Employer Mayo Clinic is committed to creating an inclusive environment that values the diversity of its employees and does not discriminate against any employee or candidate. Women, minorities, veterans, people from the LGBTQ communities and people with disabilities are strongly encouraged to apply to join our teams. Reasonable accommodations to access job openings or to apply for a job are available.",Mayo Clinic,4.0,"Rochester, MN",-1,-1,-1,-1,-1,-1
"Robustness Analysis, ML Engineer - SIML, ISE",-1,"Summary
Posted: May 11, 2022
Role Number:200378544
Are you passionate about inclusion and fairness in AI-enabled features that ship on 1.5B Apple products across the globe? As a robustness analysis (RA) engineer in the System Intelligence and Machine Learning (SIML) group, you will work in close collaboration with R&D and Data teams to ensure robustness of key Apple features. Impact machine learning which transforms the way millions of people capture, discover and share the most special moments of their lives! Examples include face detection, scene classification, OCR, and handwriting recognition, on all Apple platforms (macOS, iOS, tvOS, watchOS). RA is vital to ensure that our products and features perform equally well for diverse customers within Apple's global user base. This is an exciting time to join us: grow fast, and have a positive impact on multiple key features on your first day at Apple!",Apple,4.2,"Cupertino, CA",-1,-1,-1,-1,-1,-1
Sr Data Analyst - Data Platform/Products (FT Remote OR Hybrid),Employer Provided Salary:$66K - $118K,"Sr Data Analyst – Data Platform / Products

About us:
Target is an iconic brand, a Fortune 50 company and one of America’s leading retailers.

Behind one of the world’s best loved brands is a uniquely capable and brilliant team of data scientists, engineers and analysts. The Target Data Science & Analytics team creates the tools and data products to sustainably educate and enable our business partners to make great data-based decisions at Target. We help develop the technology that personalizes the guest experience, from product recommendations to relevant ad content. We’re also the source of the data and analytics behind Target’s Internet of Things (iOT) applications, fraud detection, Supply Chain optimization and demand forecasting. We play a key role in identifying the test-and-measure or A/B test opportunities that continuously help Target improve the guest experience, whether they love to shop in stores or at Target.com.








Qualifications:",TARGET,3.7,"Minneapolis, MN",-1,-1,-1,-1,-1,-1
"Technical Program Manager, AWS AI Data",-1,"· BS degree in Data Engineering, Data Science, Computer Science, Business or equivalent. · 5+ years experience as a Technical Program Manager or Technical Project Manager. · Proficient knowledge of Project/Program Management principles and processes. · Excellent oral and written communication skills with the ability to tailor communications to various levels of management, to technical and non-technical audiences, and cross team customers/stakeholders. · Strong organizational skills, successful track record of coordinating between multiple project stakeholders, technical program managers, and software development teams. · Experience in creating and managing complex, cross-team project plans; prior success in driving execution of large-scale project plans with multiple cross-functional teams in support of business goals.



















· Experience with development life cycles and agile methodologies · Experience with speech or text data specification and requirements, data annotation and natural language processing. · Experience with third party vendor engagement and management. · Experience with operational logistics such as resource forecasting, finance, and contracts · Experience with people management Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us. Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records. Workers in New York City who perform in-person work or interact with the public in the course of business must show proof they have been fully vaccinated against COVID or request and receive approval for a reasonable accommodation, including medical or religious accommodation.","Amazon Dev Center U.S., Inc.",3.8,United States,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Positon Title: Data Scientist
Requisition number: 197499BR

As part of the Thermo Fisher Scientific team, you’ll discover meaningful work that makes a positive impact on a global scale. Join our colleagues in bringing our Mission to life every single day to enable our customers to make the world healthier, cleaner and safer. We provide our global teams with the resources needed to achieve individual career goals while helping to take science a step beyond by developing solutions for some of the world’s toughest challenges, like protecting the environment, making sure our food is safe or helping find cures for cancer.
The BioProduction Group (BPG) is one of the fastest growing businesses in the company, supporting developers and manufacturers of biological-based therapeutics and vaccines. Our portfolio of industry leading products span the bioprocessing workflow from discovery through large-scale commercial production.

This new position provides an exciting way for an experienced Data Scientist to develop models and recommendations that will improve our Go-to-Market efficiency and drive revenue growth with key customer segments. You will quickly grasp the complex business priorities and marketing objectives to translate them into analyses/algorithms and communicate the results to stakeholders with varying degrees of technical background. You will be challenged to develop new analytics capabilities for a wide variety of projects, identifying revenue and lead opportunities and recommending the best marketing actions based on predictive modeling.
Our Mission is to enable our customers to make the world healthier, cleaner and safer. Watch as our colleagues explain 5 reasons to work with us. As one global team of 100,000 colleagues, we share a common set of values - Integrity, Intensity, Innovation and Involvement - working together to accelerate research, solve complex scientific challenges, drive technological innovation and support patients in need. #StartYourStory at Thermo Fisher Scientific, where diverse experiences, backgrounds and perspectives are valued.
Thermo Fisher Scientific is an EEO/Affirmative Action Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other legally protected status.",Thermo Fisher Scientific,3.8,California,-1,-1,-1,-1,-1,-1
R&D Procedural CG/ML Engineer- VCV-Synthetic Data Group,-1,"Summary
Posted: Jan 7, 2022
Role Number:200330398
Apple's Synthetic Data Group is looking for an experienced Procedural Engineer to help scale our next generation synthetic data workflows for machine learning and synthetic data engineers. The ideal candidate will thrive in a fast paced start-up style environment and be able to function well in a multi functional team addressing both immediate technical needs and providing long term solutions. Experience producing large scale procedural solutions to common production content generation is a requirement. Knowledge of production in games, films, or VFX will help translate internal and external needs, as will a background and exposure to Machine Learning algorithms. To succeed within this role, you should have shown experience in several of the following areas:",Apple,4.2,"Seattle, WA",-1,-1,-1,-1,-1,-1
Data Analyst / Data Science ML Trainee,$46K - $105K (Glassdoor est.),"Are you a current Data Analyst running reports & creating dashboards wanting to take your career to the next level as a Data Scientist? If you have a solid understanding within Mathematics & Statistics with basic programming skills and interested in using AI, Automation & Machine Learning, we want to talk to you!

ACDS is helping our company partner to add 10 Junior Data Science Apprentices to their team in Northwest Arkansas. This is a great mid seniority-level job opportunity to help expand your analytical and technical skills in Data Science. The employer is a Fortune 50 retailer with global presence offers stellar benefits (medical, vision & dental), company paid life insurance and stock options.",Arkansas Center for Data Sciences,-1.0,"Bentonville, AR",-1,-1,-1,-1,-1,-1
"Machine Learning Platform DevOps Engineer, Technology Development Group (TDG)",-1,"Summary
Posted: Mar 10, 2022
Role Number:200344940
Do you want to push the limits of the best Augmented Reality platform in the world? Apple's Technology Development Group (TDG) delivers algorithms that drive revolutionary Apple products, including the augmented reality (AR) platform ARKit to create ground-breaking new products. In this position, you will have the opportunity to be part of our extraordinary data team to discover and build solutions to previously-unsolved challenges and push the state of the art in AR algorithms that will change the way people experience the world! We are looking for a driven DevOps Engineer that wants to automate everything away. As a member of a fast-paced team, you have the rewarding opportunity to shape upcoming products that will delight and inspire millions of people every day. To succeed within this role, you should have shown experience in several of the following areas:",Apple,4.2,"Cupertino, CA",-1,-1,-1,-1,-1,-1
Senior Data Analyst,$68K - $114K (Glassdoor est.),"Overview:
At Cumming, you will work on some of the world's most exciting projects in a dynamic environment where your success is measured by the impact you make. We are one of the fastest-growing project and cost management consultancies in the United States, as reflected in our top 15 ranking in ENR. With over 40 offices globally, an extremely diverse project portfolio, and double-digit year-over-year revenue growth, the opportunities to make your mark are limitless!

The Senior Data Analyst will focus on collection, interpretation, visualization, and analysis of our data to help advance and support our decision making. The Senior Data Analyst reports to the IT Manager of the Applications Team, which specializes in supporting strategic business initiatives using custom built solutions. The analyst will fulfill analytical needs across the organization. The ideal candidate is one who has an entrepreneurial spirt and enjoy challenging data projects which will continue to develop their skill set. This person will be an early member of an in-house data analytics team.
Responsibilities:
Qualifications:",Cumming Group,4.0,"Aliso Viejo, CA",-1,-1,-1,-1,-1,-1
Senior Machine Learning Engineer,$73K - $125K (Glassdoor est.),"This is where you save and sustain lives
At Baxter, we are deeply connected by our mission. No matter your role at Baxter, your work makes a positive impact on people around the world. You’ll feel a sense of purpose throughout the organization, as we know our work improves outcomes for millions of patients.
Baxter’s products and therapies are found in almost every hospital worldwide, in clinics and in the home. For over 85 years, we have pioneered significant medical innovations that transform healthcare.
Together, we create a place where we are happy, successful and inspire each other. This is where you can do your best work.








072980",BAXTER,3.9,"Skaneateles, NY",-1,-1,-1,-1,-1,-1
Senior Machine Learning Engineer,$70K - $123K (Glassdoor est.),"As a Senior Machine Learning Engineer, you will work with Data Scientists and Data Engineers to translate prototypes into scalable solutions. You will build, ship, run and monitor Coca-Cola’s global ML & AI solutions bridging the gap between Data Scientists and Operations. You will ensure that models conform to the ML strategy and guidance established by the Coca-Cola Data Science team. You should be proficient at building, training, deploying, and monitoring ML models on the Azure platform including Azure Machine Learning service and Synapse.
Responsibilities for Senior Data Engineer
Wrap models in a scoring function for an API or a scheduled batch run, wrapping a model in a simple web interface, ensuring appropriate logging for monitoring/observability, crafting documentation for HLA and API specs, configuring Docker/Kubernetes, etc.",The Coca-Cola Company,4.0,"Atlanta, GA",-1,-1,-1,-1,-1,-1
"AI/ML - iOS Engineer, Siri and Language Technologies",-1,"Summary
Posted: Feb 7, 2022
Role Number:200342073
Play a part in the next revolution in human-computer interaction by building a product that is redefining what it means to be a virtual assistant. Create groundbreaking technology and transform the way engineers work to create the intelligent assistant that helps millions of people get things done by just asking. The Siri team is looking for someone with a combination of strong technical skills and a desire to improve the quality of customer features. Our team is responsible for developing voice experiences for the productivity and system actions areas. We’re looking for the right person who can collaborate with other engineers and teams in several technical areas to help improve and standardize best practices, through code, tests and processes. You should be able to thrive in a fast-paced environment with rapidly changing priorities and have a thirst for new technology.",Apple,4.2,"Seattle, WA",-1,-1,-1,-1,-1,-1
Senior ML Engineer,$72K - $121K (Glassdoor est.),"Job Description
As a Senior Machine Learning Engineer, you will work with Data Scientists and Data Engineers to translate prototypes into scalable solutions. You will build, ship, run and monitor Coca-Cola’s global ML & AI solutions bridging the gap between Data Scientists and Operations. You will ensure that models conform to the ML strategy and guidance established by the Coca-Cola Data Science team. You should be proficient at building, training, deploying, and monitoring ML models on the Azure platform including Azure Machine Learning service and Synapse.
Responsibilities for Senior Data Engineer",The Coca-Cola Company,4.0,"Plano, TX",-1,-1,-1,-1,-1,-1
"Business Analyst, Prime Gaming",$58K - $130K (Glassdoor est.),"1-2+ years of relevant experience in business intelligence or data analysis
Demonstrated proficiency in one or more of the following methods - data analysis/visualization, financial modeling, statistical modeling
1+ years of experience in SQL and manipulating large data sets in a database
1+ years of advanced proficiency in Excel (including VBA, Pivot Tables, array functions, Power Pivots, etc.)
1+ years of experience using Salesforce, Tableau
Proven ability to use hard data to back up assumptions and recommendations
Job summary
Do you enjoy making order out of chaos? Are you looking for a role in a high growth business? Prime Gaming provides free games, in-game content and Twitch benefits to Amazon Prime members. The team launched 5 years ago and is preparing for further growth. Games are a global cultural touchstone that cuts across age, gender and nationality. Games have the power to connect communities at a massive scale, and this role will delve into these communities and help Prime Gaming deliver the best content that is all about the gamers.

Key job responsibilities
Prime Gaming is seeking a Business Analyst to be a key partner with the marketing, product, and business development teams. You will be part the team that is focused on acquiring new members, and driving customer engagement. You should be highly analytical, resourceful, customer focused, team oriented, and have an ability to work independently under time constraints to meet deadlines. You will be comfortable diving deep and have a proven track record in taking on end-to-end ownership and successfully delivering results in a fast-paced, dynamic business environment. Our vision is to provide the highest quality support for our internal customers, which in turns helps us make better decisions for all of our customers. Primary responsibilities will include, but not limited to:

About the team
Amazon Games applies the principles of Amazonian culture to the world of game design. We’ve got a diverse team of talented, creative people pairing their love of making games with all the unique strengths of being part of Amazon. Across all our teams and locations, we’re united by a common purpose: to share great gaming experiences with customers around the world. We believe in a future where everyone is a gamer and everyone can create, compete, collaborate and connect through games—and we’re looking for the right people to help us build that future. With the power of Amazon and AWS at your fingertips, you’ll have the chance to innovate in gameplay, creativity, and technology, while working alongside some of the smartest and most creative minds in the industry.

Here at Amazon, we embrace our differences and are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. Our team also puts a high value on work-live balance and offers flexible working hours. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. Additionally, our team is dedicated to supporting new members with mentorship and pathways for ongoing development. We have a broad mix of experience levels and tenures, and are building an environment that celebrates knowledge sharing and promotes career choice.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",Amazon.com Services LLC,3.8,"Irvine, CA",-1,-1,-1,-1,-1,-1
"Senior Statistical Programmer - Clinical Trials / Strong Ad-Hoc & Validation (Remote, US, Canada)",-1,"Cytel provides unrivaled biostatistics and operations research knowledge to our customers in the life sciences industries in the form of both software and services. At Cytel, we work hard to create successful careers with significant professional growth for our employees, as a result of which they work hard to make Cytel successful. Cytel is a place where talent, experience and integrity come together to advance the state of clinical development.

We are experiencing exponential growth on a global scale and hiring Senior Statistical Programmers to join our FSP division. You will apply your know-how in CDISC standards (SDTM & ADaM) and advanced SAS programming skills, to support or lead one or more Phase I-IV clinical trials, across a variety of therapeutic areas.","Cytel, Inc (USA)",4.0,United States,-1,-1,-1,-1,-1,-1
Software Engineering Manager - Human In The Loop ML/AI Services,$101K - $218K (Glassdoor est.),"7+ years of experience working directly within engineering teams
Experience partnering with product OR program management teams
3+ years of people management experience, managing engineers
3+ years of experience architecting and designing (architecture, design patterns, reliability and scaling) of new and current systems

Bachelor’s Degree in Computer Science or Engineering and 10+ years of relevant experience","Amazon Dev Center U.S., Inc.",3.8,"Seattle, WA",-1,-1,-1,-1,-1,-1
Senior or Principal Statistical Programmer 1,-1,"Cytel provides unrivaled biostatistics and operations research knowledge to our customers in the life sciences industries in the form of both software and services. At Cytel, we work hard to create successful careers with significant professional growth for our employees, as a result of which they work hard to make Cytel successful. Cytel is a place where talent, experience and integrity come together to advance the state of clinical development.

We are currently looking for technically skilled and experienced Senior Statistical Programmers to support a client's programming activities within their Full Development projects.","Cytel, Inc (USA)",4.0,United States,-1,-1,-1,-1,-1,-1
Principal Statistical Programmer,-1,"Job Overview:
Experienced R programmers needed to provide technical expertise to develop process methodology for department to meet internal and external clients’ needs. Plan and coordinate the development of integrated programming solutions serving the full spectrum of statistical programming needs. Provide technical expertise and leadership to the department. Provide internal consulting services, including specifications and user needs analysis for complex project or client requirements.
Key Skills:
Must have expertise of R programming as well as SAS® Base, and good knowledge of SAS® graph and SAS® Macros.",IQVIA,3.9,Remote,-1,-1,-1,-1,-1,-1
Internal Audit and Advisory - Senior Data Analyst,$74K - $125K (Glassdoor est.),"Primary Location: 6205 Peachtree Dunwoody Rd NE, Atlanta, GA, USA
Division: Cox Enterprises
Job Level: Individual Contributor
Travel: Yes, 25 % of the Time
Schedule: Full-time
Shift: Day Job
Requisition Number: 226221",Cox Enterprises,4.5,"Atlanta, GA",-1,-1,-1,-1,-1,-1
Sensing AI/VR/AR Technology Scouting Engineer - R2,-1,"Overview:
CNH Industrial is a world-class equipment and services company. Driven by its purpose of Breaking New Ground, which centers on Innovation, Sustainability and Productivity, the Company provides the strategic direction, R&D capabilities, and investments that enable the success of its five core Brands: Case IH, New Holland Agriculture and STEYR, supplying 360° agriculture applications from machines to implements and the digital technologies that enhance them; and CASE and New Holland Construction Equipment delivering a full lineup of construction products that make the industry more productive. Across a history spanning over two centuries, CNH Industrial has always been a pioneer in its sectors and continues to passionately innovate and drive customer efficiency and success, driven by its purpose of Breaking New Ground. As a truly global company, CNH Industrial’s 35,000+ employees form part of a diverse and inclusive workplace, focused on empowering customers to grow, and build, a better world.



Responsibilities:

Qualifications:
EEO:",CNH Industrial,3.8,"New Holland, PA",-1,-1,-1,-1,-1,-1
Sr Healthcare Data Analyst - HCFS,$50K - $98K (Glassdoor est.),"Overview:
Under the general direction of the Director or designee, the Sr. Healthcare Data Analyst - HCFS needs to be insightful, detail-oriented professional with excellent analytical skills who is able to apply that skill set to data analysis, data mining and data management within a medically-oriented, dynamic analytic team.
Responsibilities:
Conduct advanced data mining as required by the program.
Lead analyses and produce standard reports using healthcare claims encounter, financial eligibility and/or other data to support the development, implementation, and monitoring of client services programs.
Qualifications:













Additional Information:",University of Massachusetts Medical School,4.2,"Shrewsbury, MA",-1,-1,-1,-1,-1,-1
